name,count
Maria,199618
Helena,125453
Anneli,123449
Johanna,112555
Kaarina,99712
Marjatta,90321
Hannele,86627
Kristiina,74973
Liisa,69806
Emilia,66786
Elina,64486
Tuulikki,59622
Annikki,58747
Sofia,58211
Maarit,57725
Susanna,56856
Leena,49280
Katariina,47775
Anna,46593
Marja,45032
Sinikka,44392
Inkeri,42011
Riitta,39370
Kyllikki,37229
Aino,36113
Tuula,35427
Anne,35120
Päivi,33867
Orvokki,33118
Ritva,32785
Tellervo,32267
Maija,32126
Karoliina,30356
Pirjo,30245
Pauliina,29909
Minna,29703
Sari,29438
Irmeli,29189
Eeva,28268
Tiina,27625
Laura,26883
Eveliina,26877
Marika,26577
Elisabet,26415
Tarja,26345
Pirkko,26025
Satu,25116
Anja,24695
Mari,24429
Hanna,24283
Seija,24103
Heidi,23870
Marita,23809
Eila,23518
Sirpa,23469
Annika,23394
Raija,23226
Jaana,22992
Irene,22954
Sisko,22842
Sanna,22565
Anita,22535
Ilona,22098
Eija,21976
Kirsi,21788
Marianne,21585
Julia,21405
Amanda,21242
Merja,21058
Katriina,20910
Arja,20253
Ulla,20243
Anni,19835
Kaisa,19805
Paula,19794
Marketta,19730
Matilda,19721
Marjaana,19678
Elisabeth,19638
Tuulia,19626
Sirkka,19571
Terttu,19343
Elisa,19098
Linnea,18677
Olivia,18126
Jenni,18026
Aurora,17793
Helmi,17786
Katja,17105
Iida,16827
Heli,16626
Mirjami,16576
Emma,16404
Hilkka,16266
Kirsti,16230
Nina,15916
Mirja,15745
Raili,15707
Anniina,15181
Maaria,15136
Katri,14915
Birgitta,14862
Sara,14412
Kaija,14223
Ida,13923
Suvi,13920
Ella,13632
Marjut,13543
Riikka,13531
Anu,13477
Aleksandra,13280
Tuija,13139
Saara,13068
Kerttu,12591
Alexandra,12552
Lea,12517
Niina,12454
Pia,12351
Aila,12336
Irma,12159
Kristina,11934
Leila,11880
Noora,11761
Marjo,11720
Marja-Leena,11627
Irja,11626
Tanja,11576
Jenna,11563
Henna,11354
Aulikki,11237
Margareta,11187
Veera,11145
Kati,11062
Lotta,10992
Hellevi,10710
Marja-Liisa,10637
Mirjam,10581
Ellen,10416
Elsa,10327
Maritta,10297
Elli,10289
Outi,10210
Anna-Liisa,10089
Milla,9970
Taina,9930
Emmi,9890
Alina,9821
Mervi,9821
Päivikki,9803
Miia,9673
Helinä,9619
Virpi,9527
Erika,9439
Siiri,9348
Jonna,9240
Venla,9211
Sini,9189
Margit,9114
Vilhelmiina,9077
Tiia,8995
Sonja,8916
Aune,8906
Aada,8824
Sanni,8257
Jasmin,8181
Josefiina,8078
Terhi,7981
Vilma,7870
Mia,7845
Maire,7824
Oona,7814
Linda,7712
Mira,7680
Alisa,7525
Roosa,7433
Lilja,7429
Martta,7344
Teija,7328
Nea,7297
Eliisa,7283
Esteri,7271
Essi,7124
Carita,7045
Airi,6976
Hillevi,6962
Piia,6959
Viivi,6917
Christina,6910
Taru,6694
Iiris,6680
Marjukka,6665
Aili,6633
Krista,6589
Petra,6553
Vuokko,6483
Tuuli,6471
Iina,6412
Annukka,6405
Juulia,6404
Marie,6317
Helvi,6258
Viola,6251
Silja,6214
Eva,6192
Mikaela,6133
Inka,6019
Jenny,5979
Henriikka,5966
Salla,5891
Susanne,5796
Erja,5766
Isabella,5757
Onerva,5731
Enni,5722
Pinja,5707
Riina,5696
Aliisa,5686
Camilla,5663
Milja,5648
Katarina,5567
Reetta,5450
Sylvia,5404
Ronja,5258
Alice,5174
Toini,5174
Maija-Liisa,5114
Ester,5068
Lyydia,5059
Eerika,5054
Elvi,4999
